user_id,user_idx
45,0
50,1
56,2
79,3
211,4
212,5
213,6
215,7
274,8
296,9
320,10
398,11
404,12
518,13
649,14
772,15
794,16
802,17
806,18
816,19
817,20
840,21
841,22
886,23
887,24
935,25
974,26
985,27
1026,28
1120,29
1172,30
1185,31
1211,32
1278,33
1283,34
1346,35
1358,36
1369,37
1381,38
1464,39
1471,40
1556,41
1573,42
1576,43
1606,44
1647,45
1656,46
1667,47
1670,48
1702,49
1707,50
1711,51
1714,52
1796,53
1807,54
1810,55
1852,56
2011,57
2013,58
2049,59
2066,60
2082,61
2117,62
2119,63
2124,64
2168,65
2266,66
2270,67
2307,68
2310,69
2318,70
2324,71
2326,72
2356,73
2360,74
2371,75
2383,76
2390,77
2429,78
2483,79
2489,80
2496,81
2504,82
2606,83
2608,84
2611,85
2612,86
2782,87
2786,88
2787,89
2795,90
2804,91
2819,92
2912,93
2959,94
2960,95
2971,96
2973,97
3070,98
3078,99
3080,100
3081,101
3084,102
3086,103
3090,104
3104,105
3111,106
3136,107
3147,108
3201,109
3223,110
3227,111
3236,112
3244,113
3317,114
3323,115
3324,116
3325,117
3326,118
3328,119
3330,120
3331,121
3332,122
3333,123
3334,124
3335,125
3336,126
3342,127
3343,128
3344,129
3345,130
3350,131
3351,132
3506,133
3518,134
3532,135
3607,136
3631,137
3633,138
3666,139
3707,140
3764,141
3765,142
3771,143
3852,144
3858,145
3859,146
3966,147
3982,148
4080,149
4106,150
4146,151
4154,152
4156,153
4195,154
4212,155
4258,156
4325,157
4344,158
4393,159
4417,160
4422,161
4469,162
4498,163
4502,164
4540,165
4570,166
4640,167
4641,168
4714,169
4752,170
4768,171
4859,172
4868,173
4871,174
4872,175
4916,176
4936,177
4979,178
4991,179
4992,180
4995,181
4998,182
5068,183
5069,184
5087,185
5123,186
5194,187
5199,188
5207,189
5220,190
5222,191
5224,192
5235,193
5290,194
5292,195
5297,196
5317,197
5319,198
5323,199
5328,200
5333,201
5343,202
5363,203
5426,204
5434,205
5486,206
5492,207
5493,208
5508,209
5533,210
5535,211
5542,212
5559,213
5562,214
5661,215
5689,216
5715,217
5752,218
5770,219
5809,220
5817,221
5850,222
5860,223
5949,224
5968,225
